
 num     #instances         #bytes  class name
 316:           194         113296  org.apache.ratis.thirdparty.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 317:          4699         112776  java.util.jar.Attributes
 318:           392         103392  [Lorg.apache.ratis.thirdparty.io.netty.buffer.IntPriorityQueue;
 319:           982         102128  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
 320:          2496          99840  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 321:          4135          99240  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 322:          4135          99240  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 323:          4135          99240  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 324:           981          94176  com.google.protobuf.Descriptors$FieldDescriptor
 325:          1914          91872  io.netty.util.AsciiString
 326:          2269          90760  io.netty.util.internal.DefaultPriorityQueue
 327:           384          89088  io.netty.buffer.PoolArena$DirectArena
 328:           384          89088  io.netty.buffer.PoolArena$HeapArena
 329:           384          89088  org.apache.ratis.thirdparty.io.netty.buffer.PoolArena$DirectArena
 330:           384          89088  org.apache.ratis.thirdparty.io.netty.buffer.PoolArena$HeapArena
 331:           200          88000  org.apache.hadoop.ipc.Server$Handler
 332:           827          86008  java.util.concurrent.ConcurrentHashMap
 333:          2111          84440  org.apache.hadoop.ipc.CallerContext$Builder
 334:          2589          82848  java.util.concurrent.ConcurrentLinkedQueue$Node
 335:          1468          82208  javax.management.MBeanAttributeInfo
 336:           962          76960  org.apache.ratis.thirdparty.io.netty.util.ResourceLeakDetector$TraceRecord
 337:          1373          76888  java.lang.invoke.DirectMethodHandle
 338:           431          75856  org.apache.ratis.thirdparty.io.netty.util.internal.InternalThreadLocalMap
 339:          2331          74592  java.util.ArrayDeque
 340:           814          71632  java.util.regex.Matcher
 341:          2189          70048  org.apache.hadoop.ipc.CallerContext
 342:           962          69264  org.apache.ratis.thirdparty.io.netty.util.ResourceLeakDetector$DefaultResourceLeak
 343:          1513          60520  io.netty.util.Recycler$DefaultHandle
 344:           824          59328  sun.misc.Cleaner
 345:           331          58304  [Z
 346:           803          57816  java.util.WeakHashMap$Entry
 347:          1792          57344  io.netty.buffer.IntPriorityQueue
 348:          1401          56040  org.apache.ratis.thirdparty.io.netty.buffer.SimpleLeakAwareByteBuf
 349:           965          54040  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 350:           392          53312  org.apache.ratis.thirdparty.io.netty.buffer.PoolChunk
 351:            50          51864  [Lio.netty.handler.codec.http2.HpackHeaderField;
 352:           804          51456  java.util.Collections$SynchronizedSortedMap
 353:           697          50184  io.netty.channel.DefaultChannelPromise
 354:           445          49840  java.net.URL
 355:           405          48600  sun.reflect.DelegatingClassLoader
 356:           500          48000  java.lang.Package
 357:            80          46720  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 358:           721          46144  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$ServicePort
 359:          1147          45880  sun.reflect.NativeConstructorAccessorImpl
 360:           412          44496  [Ljava.lang.ref.SoftReference;
 361:          1353          43296  javax.management.Attribute
 362:           898          43104  java.lang.ref.WeakReference
 363:           573          41256  org.apache.hadoop.metrics2.util.SampleStat
 364:           285          41040  java.net.URI
 365:          1277          40864  com.google.protobuf.Descriptors$DescriptorPool$DescriptorIntPair
 366:           566          40752  [Lorg.apache.hadoop.security.UserGroupInformation$AuthenticationMethod;
 367:          1250          40616  [Ljava.lang.reflect.Constructor;
